date_key,date,year,quarter,month,month_name,week_of_year,day,day_of_week,hour,time_of_day
20250726,2025-07-26,2025,3,7,July,30,26,Saturday,0,Night
20250615,2025-06-15,2025,2,6,June,24,15,Sunday,8,Morning
20250627,2025-06-27,2025,2,6,June,26,27,Friday,0,Night
20250605,2025-06-05,2025,2,6,June,23,5,Thursday,19,Evening
20250722,2025-07-22,2025,3,7,July,30,22,Tuesday,8,Morning
20250630,2025-06-30,2025,2,6,June,27,30,Monday,15,Afternoon
20250622,2025-06-22,2025,2,6,June,25,22,Sunday,14,Afternoon
20250710,2025-07-10,2025,3,7,July,28,10,Thursday,1,Night
20250626,2025-06-26,2025,2,6,June,26,26,Thursday,19,Evening
20250629,2025-06-29,2025,2,6,June,26,29,Sunday,5,Night
20250528,2025-05-28,2025,2,5,May,22,28,Wednesday,5,Night
20250721,2025-07-21,2025,3,7,July,30,21,Monday,3,Night
20250727,2025-07-27,2025,3,7,July,30,27,Sunday,5,Night
20250623,2025-06-23,2025,2,6,June,26,23,Monday,22,Evening
20250729,2025-07-29,2025,3,7,July,31,29,Tuesday,13,Afternoon
20250524,2025-05-24,2025,2,5,May,21,24,Saturday,23,Evening
20250627,2025-06-27,2025,2,6,June,26,27,Friday,6,Morning
20250701,2025-07-01,2025,3,7,July,27,1,Tuesday,10,Morning
20250611,2025-06-11,2025,2,6,June,24,11,Wednesday,20,Evening
20250607,2025-06-07,2025,2,6,June,23,7,Saturday,14,Afternoon
20250705,2025-07-05,2025,3,7,July,27,5,Saturday,20,Evening
20250624,2025-06-24,2025,2,6,June,26,24,Tuesday,15,Afternoon
20250621,2025-06-21,2025,2,6,June,25,21,Saturday,22,Evening
20250625,2025-06-25,2025,2,6,June,26,25,Wednesday,3,Night
20250602,2025-06-02,2025,2,6,June,23,2,Monday,0,Night
20250521,2025-05-21,2025,2,5,May,21,21,Wednesday,16,Afternoon
20250723,2025-07-23,2025,3,7,July,30,23,Wednesday,8,Morning
20250617,2025-06-17,2025,2,6,June,25,17,Tuesday,8,Morning
20250530,2025-05-30,2025,2,5,May,22,30,Friday,17,Afternoon
20250603,2025-06-03,2025,2,6,June,23,3,Tuesday,8,Morning
20250513,2025-05-13,2025,2,5,May,20,13,Tuesday,5,Night
20250709,2025-07-09,2025,3,7,July,28,9,Wednesday,8,Morning
20250728,2025-07-28,2025,3,7,July,31,28,Monday,12,Afternoon
20250604,2025-06-04,2025,2,6,June,23,4,Wednesday,19,Evening
20250615,2025-06-15,2025,2,6,June,24,15,Sunday,0,Night
