user_id,user_gender,user_age,age_group,country,interests
0.00E+00,Female,31,25-34,United States,art
0023e,Female,35,35-44,India,"lifestyle, fitness, health"
003a2,Female,34,25-34,United Kingdom,news
004a5,Male,27,25-34,United States,"technology, fitness, photography"
0058e,Male,32,25-34,United States,"technology, art, finance"
006b2,Female,21,18-24,United States,news
006c4,Male,33,25-34,Canada,fitness
006ce,Male,27,25-34,Mexico,"health, technology"
0073a,Male,45,45-54,France,"lifestyle, fitness"
0078e,Male,25,25-34,India,"technology, art"
007b8,Other,27,25-34,Australia,"sports, health"
007fb,Female,34,25-34,Brazil,"lifestyle, fitness"
008c5,Male,33,25-34,United States,"fitness, news, travel"
008fe,Female,17,16-17,Australia,health
0091b,Male,19,18-24,United Kingdom,"finance, art, news"
009c3,Male,24,18-24,Germany,art
009f1,Other,23,18-24,Japan,"finance, photography"
00a0f,Male,35,35-44,United Kingdom,"sports, art, lifestyle"
00a3d,Other,43,35-44,United States,lifestyle
00ad4,Male,27,25-34,Canada,"sports, technology"
00b03,Female,16,16-17,United States,"technology, sports, lifestyle"
00b85,Male,34,25-34,United Kingdom,"technology, sports, health"
00b86,Male,28,25-34,Canada,"travel, finance, news"
00bbf,Female,22,18-24,United States,"food, fashion, sports"
00c9a,Female,16,16-17,Mexico,sports
00cf9,Female,21,18-24,United States,"finance, fitness"
00d31,Female,17,16-17,Canada,technology
00d58,Female,17,16-17,United Kingdom,"fashion, food, finance"
00ddd,Other,32,25-34,India,"finance, travel, art"
00e2d,Other,20,18-24,Brazil,"travel, news"
00e6c,Male,32,25-34,Canada,"fitness, health, finance"
00e8d,Female,35,35-44,France,"news, fashion"
00ea7,Male,23,18-24,Canada,technology
00eb6,Male,28,25-34,United Kingdom,sports
00ecc,Other,28,25-34,Australia,photography
00f39,Female,29,25-34,United States,"travel, sports, fitness"
00f82,Female,25,25-34,India,travel
00faf,Male,20,18-24,United States,technology
0109a,Female,19,18-24,Canada,"finance, art, photography"
010ef,Female,24,18-24,United Kingdom,lifestyle
010f5,Male,29,25-34,India,"food, photography, news"
0110c,Female,35,35-44,United States,"travel, lifestyle"
0112d,Female,27,25-34,Canada,"gaming, fashion, health"
011b8,Male,23,18-24,Brazil,"technology, finance, photography"
0124f,Female,36,35-44,United Kingdom,finance
012d4,Male,21,18-24,United States,"travel, finance"
013fe,Other,16,16-17,United Kingdom,"gaming, fashion"
014ef,Other,16,16-17,India,travel
0156a,Male,26,25-34,Canada,finance
0162f,Male,26,25-34,United States,fitness
016d8,Male,35,35-44,Germany,"gaming, finance"
018cf,Other,29,25-34,Brazil,"gaming, technology, health"
018d2,Other,20,18-24,Germany,"fitness, news"
019fd,Other,18,18-24,Brazil,"gaming, finance"
01a37,Female,29,25-34,United Kingdom,fitness
01ad7,Female,22,18-24,Australia,"fashion, art"
01b2c,Male,28,25-34,United Kingdom,"health, food"
01b97,Male,22,18-24,Canada,"food, art"
01bd0,Male,19,18-24,United States,"gaming, technology, sports"
01c05,Female,40,35-44,Canada,"technology, fitness, sports"
01c80,Female,22,18-24,Canada,"technology, news"
01ca6,Male,37,35-44,United States,"photography, food"
01da6,Female,29,25-34,Canada,"finance, fitness, food"
01ddf,Male,33,25-34,Germany,"travel, photography"
01eff,Male,24,18-24,United States,"lifestyle, fitness, photography"
01f58,Female,16,16-17,Germany,food
0203d,Other,40,35-44,United States,"finance, travel"
0205d,Male,31,25-34,United States,health
021cc,Male,17,16-17,United Kingdom,"finance, photography, art"
0225b,Male,30,25-34,United Kingdom,"lifestyle, photography"
0232d,Male,39,35-44,United States,"gaming, news, food"
0236e,Male,25,25-34,India,health
023cc,Male,22,18-24,United Kingdom,"fitness, finance"
025ae,Female,18,18-24,Japan,"travel, finance"
026fc,Male,21,18-24,United Kingdom,"photography, food, health"
0271f,Male,18,18-24,Brazil,"fitness, food"
0276b,Other,26,25-34,United States,gaming
027c7,Female,34,25-34,Canada,"photography, lifestyle"
0287b,Female,26,25-34,United States,"gaming, lifestyle, health"
0297c,Female,30,25-34,Germany,"travel, photography, technology"
029d1,Male,26,25-34,United Kingdom,"health, fashion, fitness"
02a07,Male,23,18-24,United States,"news, sports"
02ad5,Female,30,25-34,Brazil,"art, lifestyle, food"
02aea,Female,21,18-24,Mexico,"health, art, photography"
02b50,Male,27,25-34,Germany,fashion
02ba5,Male,35,35-44,Australia,lifestyle
02cf5,Male,21,18-24,Australia,"technology, lifestyle, art"
02d0d,Other,36,35-44,Germany,"news, food, lifestyle"
02d20,Other,19,18-24,Canada,"lifestyle, art"
02e0f,Male,31,25-34,France,"technology, health"
02f27,Female,19,18-24,United Kingdom,"sports, fitness"
02fb8,Female,16,16-17,United States,technology
02fe9,Male,40,35-44,United Kingdom,"finance, fitness, sports"
0301e,Female,19,18-24,Germany,"news, food, art"
0308a,Female,40,35-44,India,gaming
030cb,Male,33,25-34,United States,"art, finance"
030dc,Male,24,18-24,United States,fitness
031ba,Female,19,18-24,Japan,"technology, fashion"
031dc,Male,18,18-24,Brazil,technology
0320f,Male,31,25-34,United States,gaming
032d2,Male,41,35-44,Australia,"fitness, travel"
0331e,Female,20,18-24,United Kingdom,news
0364e,Male,22,18-24,France,news
036ba,Male,27,25-34,Canada,"health, gaming"
0398d,Male,24,18-24,United States,"news, technology, gaming"
039aa,Female,18,18-24,United Kingdom,"lifestyle, sports"
03a52,Male,26,25-34,United States,art
03a5b,Female,16,16-17,United States,"fashion, art, technology"
03ac9,Male,42,35-44,Mexico,"photography, lifestyle, fashion"
03b4c,Male,33,25-34,Germany,"fitness, art"
03bd1,Male,22,18-24,Canada,"fashion, news"
03c77,Female,29,25-34,Mexico,"photography, fashion"
03c8a,Female,35,35-44,United Kingdom,"health, fashion, food"
03caa,Male,39,35-44,Japan,"lifestyle, technology"
03cf6,Male,21,18-24,Brazil,"finance, sports"
03d1a,Male,45,45-54,India,"news, technology"
03dcf,Male,19,18-24,Canada,"finance, gaming"
03e8e,Male,21,18-24,United Kingdom,health
03fcb,Female,23,18-24,United States,fitness
03fd9,Other,36,35-44,Japan,"lifestyle, fashion, art"
040cc,Female,26,25-34,United Kingdom,health
0411e,Female,30,25-34,Brazil,technology
0429c,Male,26,25-34,United States,"fitness, sports"
042a2,Female,30,25-34,India,finance
042d8,Male,26,25-34,India,travel
0435c,Male,33,25-34,Canada,"art, technology, food"
0437c,Male,19,18-24,Mexico,photography
043b8,Male,28,25-34,Brazil,"fashion, photography, food"
044f3,Male,23,18-24,France,"sports, news"
0458d,Male,26,25-34,United States,"finance, travel"
046b3,Other,34,25-34,Australia,finance
047ae,Female,26,25-34,Mexico,art
047df,Female,27,25-34,Australia,"technology, finance, fashion"
0486f,Male,30,25-34,United Kingdom,"fitness, food"
04a36,Male,38,35-44,India,"finance, fashion, technology"
04a6b,Male,19,18-24,United Kingdom,"food, gaming"
04ab8,Male,24,18-24,Germany,"gaming, food"
04b48,Female,30,25-34,Brazil,"gaming, travel"
04b67,Other,36,35-44,India,"technology, news, gaming"
04c39,Female,32,25-34,United Kingdom,"photography, news, art"
04d60,Female,24,18-24,United States,"news, photography"
04d90,Male,32,25-34,India,"photography, art"
04dce,Female,19,18-24,Brazil,"fitness, health, gaming"
04fc9,Female,18,18-24,Australia,"technology, photography, sports"
04ff1,Male,30,25-34,India,"health, photography"
051ff,Other,27,25-34,France,"technology, health"
052ef,Male,26,25-34,Canada,"health, art, food"
053ab,Male,57,55-65,United States,"travel, fitness"
053c5,Male,33,25-34,Germany,"gaming, food, technology"
0541a,Male,38,35-44,Australia,"travel, art, photography"
0542d,Male,38,35-44,United States,"travel, fashion"
054f7,Female,45,45-54,United Kingdom,"travel, art"
057d7,Male,27,25-34,India,"finance, technology"
0584d,Male,24,18-24,India,"travel, photography"
058ba,Female,38,35-44,India,gaming
059b3,Male,35,35-44,Mexico,"news, fashion"
059ee,Male,21,18-24,United Kingdom,photography
05a92,Male,30,25-34,United States,"technology, gaming, photography"
